# Pass B, proposal A — bottom-up clustering of the Pass A predicament phrases.
# One row per DISTINCT phrase. key = the N2 normalisation used to join back to the readings
# (NFKD, diacritics stripped, lowercased, non-alphanumerics to space, a/an/the dropped, word
# order preserved). surface = one film's actual wording, kept so the row is readable.
# Every assignment here was made by reading the phrase. No string similarity, no vectors,
# no stemming, no Jaccard. Phrases absent from this file are "none of these" and are listed
# in pipeline/out/predicates-propA.json under unclustered.
# predicateId	axis	roles	label	key	surface
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	someone signs away more than they knew	someone signs away more than they knew
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	captive is traded for another s freedom	a captive is traded for another's freedom
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	doubter is offered power for his allegiance	a doubter is offered power for his allegiance
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	freedom is traded for place among people	freedom is traded for a place among people
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	promise made in terror is kept afterwards	a promise made in terror is kept afterwards
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	rescue is granted only on cruel terms	a rescue is granted only on cruel terms
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	someone bargains away all they love	someone bargains away all they love
a-bargain-with-a-price-not-named	exchange	offering,accepting	The terms of the offer are not what they appeared	someone is asked to choose between two loyalties	someone is asked to choose between two loyalties
a-buried-past-is-dug-up	truth	digging,exposed	A past deliberately buried is exhumed and used	hidden past is exposed to destroy someone	a hidden past is exposed to destroy someone
a-buried-past-is-dug-up	truth	digging,exposed	A past deliberately buried is exhumed and used	man digs into past best unknown	a man digs into a past best unknown
a-buried-past-is-dug-up	truth	digging,exposed	A past deliberately buried is exhumed and used	man hides where he comes from	a man hides where he comes from
a-buried-past-is-dug-up	truth	digging,exposed	A past deliberately buried is exhumed and used	someone is despised once their past is known	someone is despised once their past is known
a-child-cannot-be-had	kin	wanting,withheld	A child is wanted and cannot be had	woman cannot have child she wants	a woman cannot have the child she wants
a-child-cannot-be-had	kin	wanting,withheld	A child is wanted and cannot be had	childless couple seeks child to raise	a childless couple seeks a child to raise
a-child-cannot-be-had	kin	wanting,withheld	A child is wanted and cannot be had	someone asks to be given child	someone asks to be given a child
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	child blames one parent for other	a child blames one parent for the other
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	two households claim same child	two households claim the same child
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	child is asked to choose between parents	a child is asked to choose between parents
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	child is claimed by two rival fathers	a child is claimed by two rival fathers
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	child is fought over by two parents	a child is fought over by two parents
a-child-claimed-by-two-parties	kin	claimant,claimant,child	Two parties each claim the same child	family retrieves child gone astray	a family retrieves a child gone astray
a-choice-with-no-innocent-option	power	choosing,harmed	Every option available does harm to someone	choice is imposed with no innocent option	a choice is imposed with no innocent option
a-choice-with-no-innocent-option	power	choosing,harmed	Every option available does harm to someone	man must choose between two women	a man must choose between two women
a-choice-with-no-innocent-option	power	choosing,harmed	Every option available does harm to someone	parent chooses between two harms	a parent chooses between two harms
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	weak are made to confess by force	the weak are made to confess by force
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	consent is extracted by threat of pain	consent is extracted by the threat of pain
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	invitation to confess becomes trap	an invitation to confess becomes a trap
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	lie is used to extract confession	a lie is used to extract a confession
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	person is hurt until they name someone	a person is hurt until they name someone
a-confession-extracted-by-force	power	extracting,confessing	An admission is produced by pressure rather than by truth	person is punished for refusing to recant	a person is punished for refusing to recant
a-contest-of-nerve-turns-fatal	violence	rival,rival	A test of nerve between rivals is carried past the point of return	challenge is accepted out of vanity	a challenge is accepted out of vanity
a-contest-of-nerve-turns-fatal	violence	rival,rival	A test of nerve between rivals is carried past the point of return	contest of nerve between rivals turns fatal	a contest of nerve between rivals turns fatal
a-death-goes-unexplained	death	dead,unexplained	A death is never accounted for and the household lives around it	death in family goes unexplained	a death in the family goes unexplained
a-death-goes-unexplained	death	dead,unexplained	A death is never accounted for and the household lives around it	dead of two sides are mourned unequally	the dead of two sides are mourned unequally
a-death-goes-unexplained	death	dead,unexplained	A death is never accounted for and the household lives around it	death is claimed as another s cause	a death is claimed as another's cause
a-death-goes-unexplained	death	dead,unexplained	A death is never accounted for and the household lives around it	disappearance is treated as departure	a disappearance is treated as a departure
a-death-goes-unexplained	death	dead,unexplained	A death is never accounted for and the household lives around it	mourner is accused of causing death	a mourner is accused of causing the death
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	debt is taken on for friend	a debt is taken on for a friend
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	taking more than can be replaced ruins everyone	taking more than can be replaced ruins everyone
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	child owes parent impossible sum	a child owes a parent an impossible sum
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	debt is owed for accidental harm	a debt is owed for accidental harm
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	debt keeps woman where she is	a debt keeps a woman where she is
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	money is owed between old friends	money is owed between old friends
a-debt-holds-a-person-in-place	exchange	creditor,debtor	A debt is the thing keeping a person where they are	taking more than share costs everything	taking more than the share costs everything
a-debt-owed-to-the-dead	death	owing,dead	Something owed to the dead is claimed or denied	living settle debt to dead	the living settle a debt to the dead
a-debt-owed-to-the-dead	death	owing,dead	Something owed to the dead is claimed or denied	dead are offered back to living	the dead are offered back to the living
a-debt-owed-to-the-dead	death	owing,dead	Something owed to the dead is claimed or denied	duty to dead outweighs living	a duty to the dead outweighs the living
a-debt-owed-to-the-dead	death	owing,dead	Something owed to the dead is claimed or denied	living decide what dead leave behind	the living decide what the dead leave behind
a-debt-owed-to-the-dead	death	owing,dead	Something owed to the dead is claimed or denied	what was owed to dead is denied	what was owed to the dead is denied
a-deception-is-uncovered-by-the-one-deceived	truth	deceiving,deceived	The deceived party finds the deception out	deception is uncovered by one deceived	a deception is uncovered by the one deceived
a-deception-is-uncovered-by-the-one-deceived	truth	deceiving,deceived	The deceived party finds the deception out	betrayer is exposed to one betrayed	a betrayer is exposed to the one betrayed
a-deception-is-uncovered-by-the-one-deceived	truth	deceiving,deceived	The deceived party finds the deception out	lover is shown false proof of betrayal	a lover is shown false proof of betrayal
a-deception-is-uncovered-by-the-one-deceived	truth	deceiving,deceived	The deceived party finds the deception out	hidden contempt is discovered by its object	a hidden contempt is discovered by its object
a-deception-is-uncovered-by-the-one-deceived	truth	deceiving,deceived	The deceived party finds the deception out	someone reveals happiness they showed was false	someone reveals the happiness they showed was false
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	group closes ranks against one man	a group closes ranks against one man
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	people turn against those they once welcomed	a people turn against those they once welcomed
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	weakest is hounded by rest	the weakest is hounded by the rest
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	crowd turns on someone for being different	a crowd turns on someone for being different
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	friend becomes thing group fears	a friend becomes the thing the group fears
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	group leaves one of its own behind	a group leaves one of its own behind
a-group-turns-on-one-of-its-own	power	group,singled-out	A group closes ranks against one of its members	member is cast out for dissenting	a member is cast out for dissenting
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	children watch their protector killed	children watch their protector killed
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	family is emptied around one left	a family is emptied around the one left
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	family is killed to clear way	a family is killed to clear the way
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	household is destroyed by its own child	a household is destroyed by its own child
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	killer hunts last of family	a killer hunts the last of a family
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	man survives killing of his household	a man survives the killing of his household
a-house-emptied-around-the-one-left	kin	surviving,taken	The household is destroyed around the person who survives it	people are killed for what they own	a people are killed for what they own
a-killing-answered-with-a-killing	violence	killing,killed	Each death requires the next	killing is answered with killing	a killing is answered with a killing
a-killing-answered-with-a-killing	violence	killing,killed	Each death requires the next	revenge on guilty destroys avenger	revenge on the guilty destroys the avenger
a-killing-answered-with-a-killing	violence	killing,killed	Each death requires the next	each pays to have other killed	each pays to have the other killed
a-killing-answered-with-a-killing	violence	killing,killed	Each death requires the next	killing is answered with another killing	a killing is answered with another killing
a-killing-answered-with-a-killing	violence	killing,killed	Each death requires the next	rejection is answered with killing	a rejection is answered with a killing
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	lie is told to protect another	a lie is told to protect another
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	lie is told to protect someone s name	a lie is told to protect someone's name
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	someone is made to lie to shield another	someone is made to lie to shield another
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	bearer of terrible news delays telling it	the bearer of terrible news delays telling it
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	dying man leaves message saying nothing	a dying man leaves a message saying nothing
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	family is kept ignorant to spare them	a family is kept ignorant to spare them
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	good man lies to save wronged	a good man lies to save the wronged
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	lie is told to keep people alive	a lie is told to keep people alive
a-lie-told-to-protect-another	truth	lying,protected	A lie is told to keep someone else safe or unblamed	story is withheld for fear of consequence	a story is withheld for fear of consequence
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	elder refuses to ransom his own kin	an elder refuses to ransom his own kin
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	life is bought back for price	a life is bought back for a price
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	release must be bought from those holding one	release must be bought from those holding one
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	death is settled with payment	a death is settled with a payment
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	money taken by trickery is given back	money taken by trickery is given back
a-life-is-bought-back-for-a-price	exchange	ransoming,held	A life or a freedom is settled with a payment	theft is answered with gift	a theft is answered with a gift
a-life-is-re-examined-for-where-it-broke	identity	examining,examined	A life is gone back over to find the point it went wrong	life is reexamined for where it broke	a life is reexamined for where it broke
a-life-is-re-examined-for-where-it-broke	identity	examining,examined	A life is gone back over to find the point it went wrong	someone spends his life undoing one choice	someone spends his life undoing one choice
a-life-is-re-examined-for-where-it-broke	identity	examining,examined	A life is gone back over to find the point it went wrong	someone understands moment only long afterward	someone understands a moment only long afterward
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	living being is owned then handed on	a living being is owned then handed on
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	person is handed between keepers	a person is handed between keepers
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	creature is passed from owner to owner	a creature is passed from owner to owner
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	help given once is claimed back as ownership	help given once is claimed back as ownership
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	one lover consents to be owned by another	one lover consents to be owned by another
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	one owns person one has made	one owns the person one has made
a-living-being-is-owned-and-handed-on	power	owning,owned	A person is property and is passed between owners	person is shown to strangers for profit	a person is shown to strangers for profit
a-message-goes-astray	truth	sending,carrying	Word entrusted to a carrier does not arrive as sent	message is entrusted to passing stranger	a message is entrusted to a passing stranger
a-message-goes-astray	truth	sending,carrying	Word entrusted to a carrier does not arrive as sent	order overrides private understanding	an order overrides a private understanding
a-message-goes-astray	truth	sending,carrying	Word entrusted to a carrier does not arrive as sent	word between two is intercepted by third	word between two is intercepted by a third
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	mother cannot love child she made	a mother cannot love the child she made
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	parent cannot give what he wishes	a parent cannot give what he wishes
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	parent demands declaration of love	a parent demands a declaration of love
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	parent offers friendship in place of parenthood	a parent offers friendship in place of parenthood
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	parent refuses child he never met	a parent refuses the child he never met
a-parent-cannot-love-the-child	kin	parent,child	A parent cannot feel toward the child what the child needs	parents cannot go through with abandoning child	parents cannot go through with abandoning a child
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	father moves to destroy his own child	a father moves to destroy his own child
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	belief kills child it meant to save	belief kills the child it meant to save
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	child is judged unworthy by his family	a child is judged unworthy by his family
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	father cannot accept his son s ordinariness	a father cannot accept his son's ordinariness
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	father drags his sons into his obsession	a father drags his sons into his obsession
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	father refuses to believe his own child	a father refuses to believe his own child
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	father tries to break his child s attachment	a father tries to break his child's attachment
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	parent asks child to end himself	a parent asks a child to end himself
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	parent blames child for death	a parent blames the child for a death
a-parent-moves-against-the-child	kin	parent,child	A parent sets out to break or destroy their own child	parent refuses to stand for his child	a parent refuses to stand for his child
a-parent-must-judge-their-own-child	kin	judging,judged	A parent has to pass judgement on their own child	one must pass judgment on one s own child	one must pass judgment on one's own child
a-parent-must-judge-their-own-child	kin	judging,judged	A parent has to pass judgement on their own child	father must let his son risk death	a father must let his son risk death
a-parent-must-judge-their-own-child	kin	judging,judged	A parent has to pass judgement on their own child	one parent judges another s way of raising	one parent judges another's way of raising
